id,Name,Position,Height,Weight,Age,GP,REB,AST,STL,BLK,PTS,Salary
392,"Alfonzo McKinnie",F,201,98,29,39,54,6,7,0,122,1500
393,"Luka Samanic",F,208,103,23,33,68,15,8,8,122,1500
394,"Glenn Robinson III",G,198,101,27,23,45,20,4,3,121,1500
395,"Gary Clark",F,198,102,27,39,115,31,13,7,119,1500
396,"Jaylen Hoard",F,203,98,23,19,65,24,13,5,116,1500
397,"Trey Lyles",F,206,106,27,23,86,14,6,1,115,1500
398,"Dewayne Dedmon",C,208,111,33,16,86,12,9,6,113,1500
399,"Freddie Gillespie",F,206,111,25,20,97,9,13,20,111,1500
400,"Paul Watson",F,198,95,27,27,45,17,6,3,111,1500
401,"Harry Giles III",F,211,109,23,38,133,29,8,13,108,1500
402,"Chandler Hutchison",G,198,95,26,25,78,17,12,5,107,1500
403,"Luke Kornet",C,218,113,27,31,67,24,4,32,106,1500
404,"Markus Howard",G,178,79,23,37,21,18,4,1,105,1500
405,"Miye Oni",G,196,93,24,54,84,28,11,8,105,1500
406,"Markelle Fultz",G,193,95,25,8,25,43,8,2,103,1500
407,"Al-Farouq Aminu",F,203,100,30,23,110,31,19,9,102,1500
408,"Josh Green",G,201,91,22,39,78,28,16,3,101,1500
409,"Mike James",G,185,79,30,13,32,54,6,1,100,1500
410,"Tremont Waters",G,178,79,24,26,21,62,15,1,99,1500
411,"Wes Iwundu",F,198,88,27,41,90,18,15,4,99,1500
412,"Jalen Harris",G,196,88,22,13,18,17,8,0,96,1500
413,"Mfiondu Kabengele",F,208,113,25,39,60,17,8,13,95,1500
414,"Alize Johnson",F,203,96,27,18,90,14,5,5,94,1500
415,"Tre Jones",G,185,84,23,37,21,39,8,0,94,1500
416,"KZ Okpala",F,203,98,24,37,68,19,10,11,92,1500
417,"Ignas Brazdeikis",F,198,100,23,13,45,17,4,3,91,1500
418,"Rodney McGruder",G,193,93,31,16,22,16,8,1,91,1500
419,"Frank Ntilikina",G,193,91,24,33,31,19,18,4,89,1500
420,"Sam Merrill",G,193,93,27,30,30,21,8,1,89,1500
421,"Chris Chiozza",G,180,79,26,22,24,65,7,6,88,1500
422,"Paul Reed",C,206,95,24,26,61,12,10,13,88,1500
423,"Trent Forrest",G,193,95,25,30,44,45,9,4,88,1500
424,"Kyle Guy",G,185,76,24,31,35,32,6,0,87,1500
425,"Josh Hall",F,206,86,20,21,59,28,4,1,86,1500
426,"Vlatko Cancar",F,203,107,26,41,50,14,11,2,85,1500
427,"Gabriel Deck",F,198,105,27,10,40,24,8,0,84,1500
428,"Jerome Robinson",G,193,86,24,17,38,25,12,6,83,1500
429,"Khyri Thomas",G,191,95,25,5,18,25,9,6,82,1000
430,"Anthony Gill",F,203,104,30,26,51,11,10,4,80,1000
431,"Keita Bates-Diop",F,203,104,27,30,49,12,11,5,79,1000
432,"Isaac Bonga",G,203,82,22,40,66,23,11,9,78,1000
433,"Reggie Perry",F,203,113,22,26,73,14,6,6,78,1000
434,"Quinn Cook",G,185,82,28,23,17,18,4,1,76,1000
435,"Darius Miller",F,198,102,31,18,24,21,13,5,73,1000
436,"Donta Hall",C,208,104,23,13,62,11,5,10,73,1000
437,"Shaquille Harrison",G,193,88,29,34,48,25,17,5,73,1000
438,"Jabari Parker",F,201,111,27,13,42,11,1,5,72,1000
439,"Wenyen Gabriel",C,206,93,26,21,54,11,9,8,72,1000
440,"Justin Patton",C,211,109,24,13,49,14,12,14,70,1000
441,"Bol Bol",F,218,100,23,32,24,7,3,10,69,1000
442,"CJ Elleby",F,198,91,22,30,32,10,6,3,68,1000
443,"Ersan Ilyasova",F,206,107,34,17,29,4,10,3,65,1000
444,"Jarrell Brantley",F,196,113,27,28,27,15,7,2,64,1000
445,"T.J. Warren",F,203,100,29,4,14,5,2,0,62,1000
446,"Killian Tillie",C,206,100,24,18,24,8,5,8,57,1000
447,"Jordan Bone",G,188,82,23,14,24,18,2,0,56,1000
448,"Romeo Langford",G,196,98,23,18,35,13,6,5,56,1000
449,"Yogi Ferrell",G,183,81,28,10,19,22,7,3,56,1000
450,"Daniel Oturu",C,203,109,22,30,48,10,4,7,54,1000
451,"Jalen Smith",C,206,98,23,27,37,4,1,4,53,1000
452,"Bruno Fernando",C,208,109,24,33,78,10,4,3,51,1000
453,"Dakota Mathias",G,193,91,26,8,7,13,1,3,48,1000
454,"Ed Davis",F,206,99,33,23,115,21,13,13,48,1000
455,"Tacko Fall",C,229,141,26,19,52,3,1,20,47,1000
456,"Quinndary Weatherspoon",G,191,93,25,20,11,8,8,2,46,1000
457,"Vernon Carey Jr.",C,208,122,22,19,27,2,1,5,46,1000
458,"Louis King",F,201,93,24,6,18,9,7,3,44,1000
459,"Mamadi Diakite",C,206,103,26,14,34,8,6,5,44,1000
460,"Cameron Oliver",F,203,108,25,4,21,5,2,4,43,1000
461,"Robert Franks",F,201,102,24,7,14,5,3,3,43,1000
462,"Cassius Winston",G,185,84,24,22,9,12,2,1,41,1000
463,"Deividas Sirvydis",G,203,86,22,20,29,5,2,0,41,1000
464,"Nate Hinton",G,196,95,23,21,9,8,7,2,41,1000
465,"Sindarius Thornwell",G,193,98,26,21,18,21,13,2,41,1000
466,"Charlie Brown Jr.",G,198,90,25,9,17,9,4,2,40,1000
467,"Jahmi'us Ramsey",G,191,86,21,13,10,6,4,1,40,1000
468,"Devontae Cacok",C,201,109,25,20,32,1,5,4,39,1000
469,"Sean McDermott",F,198,88,24,18,19,4,2,3,39,1000
470,"Cassius Stanley",G,196,86,22,24,20,1,1,2,36,1000
471,"Matthew Dellavedova",G,191,91,32,13,24,58,4,1,36,1000
472,"Jay Scrubb",G,196,100,22,4,14,1,4,0,35,1000
473,"Juwan Morgan",F,201,105,25,29,28,9,4,1,35,1000
474,"Devin Cannady",G,188,83,26,8,5,1,5,1,34,1000
475,"Rayjon Tucker",G,191,95,24,14,11,6,2,0,34,1000
476,"Chris Silva",F,203,106,26,15,27,6,1,6,32,1000
477,"Elijah Hughes",G,196,98,24,18,9,6,1,1,31,1000
478,"Rodions Kurucs",F,206,103,23,21,23,10,9,4,31,1000
479,"Thon Maker",F,213,100,24,8,18,4,2,4,30,1000
480,"Alen Smailagic",C,208,98,20,15,16,4,3,5,28,1000
481,"Rondae Hollis-Jefferson",F,198,98,26,11,26,13,2,4,27,1000
482,"Frank Mason III",G,180,86,29,4,12,12,0,0,25,1000
483,"Gary Payton II",G,188,88,30,10,11,1,6,1,25,1000
484,"Cristiano Felicio",C,211,122,28,18,26,9,4,0,23,1000
485,"Dante Exum",G,196,97,25,6,17,13,4,2,23,1000
486,"Devon Dotson",G,185,84,23,11,5,7,4,0,23,1000
487,"Isaiah Thomas",G,175,84,33,3,4,5,1,0,23,1000
488,"Jeremiah Martin",G,188,84,25,9,7,4,5,2,22,1000
489,"Jontay Porter",F,211,109,21,11,14,1,3,1,22,1000
490,"Justin Robinson",G,185,88,24,9,7,9,3,0,21,1000
491,"Norvel Pelle",C,208,105,29,13,19,2,1,9,20,1000
492,"Robert Woodard II",F,198,107,22,13,16,2,0,3,20,1000
493,"Spencer Dinwiddie",G,196,98,30,3,13,9,2,1,20,1000
494,"Grant Riller",G,188,86,24,7,1,3,1,0,18,1000
495,"Tyler Bey",F,201,98,23,18,19,3,0,1,18,1000
496,"Anthony Tolliver",F,203,109,36,11,10,2,3,2,17,1000
497,"Bruno Caboclo",F,206,99,25,6,14,1,0,2,17,1000
498,"Elijah Bryant",G,196,95,26,1,6,3,0,1,16,1000
499,"Udoka Azubuike",C,211,122,23,15,13,0,1,4,16,1000
500,"Adam Mokoka",G,193,86,22,14,5,5,2,1,15,1000
501,"Cam Reynolds",G,201,102,28,5,5,2,0,0,15,1000
502,"Henry Ellenson",F,208,109,24,2,12,5,0,0,15,1000
503,"James Nunnally",F,201,93,30,9,9,3,0,0,15,1000
504,"Jordan Bell",C,201,98,27,6,24,7,3,5,15,1000
505,"Nick Richards",C,213,111,25,18,11,2,0,0,15,1000
506,"Axel Toupane",F,201,95,28,8,6,4,2,3,14,1000
507,"Amida Brimah",C,208,104,27,5,8,1,0,5,13,1000
508,"Anderson Varejao",F,211,118,38,5,20,3,0,2,13,1000
509,"Marquese Chriss",F,206,109,24,2,13,2,0,2,13,1000
510,"Keljin Blevins",F,193,91,26,17,10,4,2,0,12,1000
511,"Kostas Antetokounmpo",F,208,91,23,15,19,1,2,4,12,1000
512,"T.J. Leaf",F,208,101,24,7,5,1,2,1,12,1000
513,"Karim Mane",G,191,86,21,10,14,4,0,2,11,1000
514,"Tyrell Terry",G,188,73,21,11,6,6,5,0,11,1000
515,"Meyers Leonard",C,213,118,31,3,7,2,0,0,10,1000
516,"Nate Darling",G,198,91,22,7,1,1,0,1,9,1000
517,"Ty-Shon Alexander",G,191,88,22,15,10,6,0,1,9,1000
518,"Didi Louzada",G,196,85,22,3,3,3,2,0,8,1000
519,"Tim Frazier",G,183,77,31,5,8,16,2,1,8,1000
520,"Vincent Poirier",C,213,107,27,10,14,2,0,3,8,1000
521,"Marques Bolden",C,208,113,23,6,6,0,2,2,7,1000
522,"Andre Roberson",G,201,95,29,5,15,4,3,1,6,1000
523,"Jared Dudley",F,198,108,35,12,21,5,1,1,6,1000
524,"Jalen Lecque",G,193,84,21,4,5,2,0,0,5,1000
525,"Kris Dunn",G,191,93,29,4,6,2,2,2,5,1000
526,"Patrick McCaw",G,201,82,25,5,3,4,2,0,5,1000
527,"Ray Spalding",F,206,102,24,2,4,0,0,2,4,1000
528,"Udonis Haslem",C,201,107,43,1,1,0,0,0,4,1000
529,"Brian Bowen II",F,198,86,22,6,3,0,0,0,3,1000
530,"Jared Harper",G,178,79,24,8,2,1,0,0,3,1000
531,"Malik Fitts",F,196,104,24,3,3,0,0,0,3,1000
532,"Iman Shumpert",G,196,96,31,2,1,0,1,0,2,1000
533,"Jaylen Adams",G,183,102,25,7,3,2,0,0,2,1000
534,"Terrance Ferguson",G,198,86,23,13,1,2,1,0,2,1000
535,"Theo Pinson",G,201,96,27,17,5,1,0,0,2,1000
536,"Anzejs Pasecniks",C,216,104,25,1,1,1,0,0,0,1000
537,"Ashton Hagans",G,191,86,21,2,0,0,0,0,0,1000
538,"Greg Whittington",F,203,95,28,4,0,0,0,0,0,1000
539,"Noah Vonleh",C,208,117,27,4,1,1,0,0,0,1000
540,"Will Magnay",C,208,106,23,1,0,0,0,0,0,1000
